case_id,horizon,initialization,found,best_found_rho,optimizer_status,total_ms,fk_calls,jacobian_calls,run_file
case_01_matched_03,30,hold,False,,9,1563.613413,6780,3030,runs/case_01_matched_03_L30_hold.json
case_01_matched_03,30,historical_prefix,False,,9,1567.788545,6780,3030,runs/case_01_matched_03_L30_historical_prefix.json
case_01_matched_03,30,dls_prediction,True,0.34889991376896706,0,643.695944,1916,1437,runs/case_01_matched_03_L30_dls_prediction.json
state_08_candidate_04,30,hold,False,,9,1439.630488,3240,3030,runs/state_08_candidate_04_L30_hold.json
state_08_candidate_04,30,historical_prefix,True,0.22254479074091144,9,1433.04018,3270,3030,runs/state_08_candidate_04_L30_historical_prefix.json
state_08_candidate_04,30,dls_prediction,True,0.2229056678837234,9,1420.120298,3360,3060,runs/state_08_candidate_04_L30_dls_prediction.json
state_14_candidate_01,1,hold,True,0.06411648063226172,0,3.353733,14,7,runs/state_14_candidate_01_L1_hold.json
state_14_candidate_01,1,historical_prefix,True,0.14175389626070262,8,3.44554,14,8,runs/state_14_candidate_01_L1_historical_prefix.json
state_14_candidate_01,1,dls_prediction,True,0.06411648067270337,0,4.215598,19,10,runs/state_14_candidate_01_L1_dls_prediction.json
case_01_candidate_00,1,hold,True,0.13108216684387256,0,5.261848,22,13,runs/case_01_candidate_00_L1_hold.json
case_01_candidate_00,1,historical_prefix,True,0.13108216684387256,0,5.203047,22,13,runs/case_01_candidate_00_L1_historical_prefix.json
case_01_candidate_00,1,dls_prediction,True,0.13108216690071803,0,6.82694,31,17,runs/case_01_candidate_00_L1_dls_prediction.json
state_08_candidate_00,30,hold,False,,9,1528.707743,3210,3030,runs/state_08_candidate_00_L30_hold.json
state_08_candidate_00,30,historical_prefix,True,0.2229113884302013,9,1434.436981,3300,3030,runs/state_08_candidate_00_L30_historical_prefix.json
state_08_candidate_00,30,dls_prediction,True,0.22326716897686102,9,1405.308869,3360,3060,runs/state_08_candidate_00_L30_dls_prediction.json
state_13_candidate_03,30,hold,False,,9,1626.638527,3180,3030,runs/state_13_candidate_03_L30_hold.json
state_13_candidate_03,30,historical_prefix,True,0.5303688242743666,9,1820.889747,3210,3030,runs/state_13_candidate_03_L30_historical_prefix.json
state_13_candidate_03,30,dls_prediction,True,0.18368293386326448,9,1797.146862,3300,3060,runs/state_13_candidate_03_L30_dls_prediction.json
state_14_candidate_03,5,hold,True,0.09386117245144457,0,35.247435,145,115,runs/state_14_candidate_03_L5_hold.json
state_14_candidate_03,5,historical_prefix,True,0.09386117244700813,0,33.508515,140,100,runs/state_14_candidate_03_L5_historical_prefix.json
state_14_candidate_03,5,dls_prediction,True,0.0938611724525696,0,38.544839,165,120,runs/state_14_candidate_03_L5_dls_prediction.json
state_13_candidate_05,5,hold,True,0.1363514705854487,0,35.913641,145,115,runs/state_13_candidate_05_L5_hold.json
state_13_candidate_05,5,historical_prefix,True,0.13635147058599043,0,49.601999,200,160,runs/state_13_candidate_05_L5_historical_prefix.json
state_13_candidate_05,5,dls_prediction,True,0.13635147058583574,0,37.2051,160,115,runs/state_13_candidate_05_L5_dls_prediction.json
case_01_matched_05,5,hold,True,0.3181225399846097,0,70.585799,320,225,runs/case_01_matched_05_L5_hold.json
case_01_matched_05,5,historical_prefix,True,0.3181225400788921,0,42.522816,190,135,runs/case_01_matched_05_L5_historical_prefix.json
case_01_matched_05,5,dls_prediction,True,0.31812254013538105,0,59.450245,303,184,runs/case_01_matched_05_L5_dls_prediction.json
state_14_candidate_01,30,hold,False,,9,1744.001177,3180,3030,runs/state_14_candidate_01_L30_hold.json
state_14_candidate_01,30,historical_prefix,True,0.7262095089385122,9,2100.785407,3180,3030,runs/state_14_candidate_01_L30_historical_prefix.json
