panel,site_id,condition,completed,repeats,center_id,candidate_id,center_completed,position_match_error,orientation_match_error,scope,predictor,informative_pairs,comparable_pairs,unknown_pairs,concordant,discordant,ties,score,contributing_sites,note,repeat,cumulative_ms
d,case_07_pre_failure,current_only,,,,,,,,,,,,,,,,,,,4,11.663289
d,case_07_pre_failure,B,,,,,,,,,,,,,,,,,,,0,5199.918774
d,case_07_pre_failure,B,,,,,,,,,,,,,,,,,,,1,5204.07594
d,case_07_pre_failure,B,,,,,,,,,,,,,,,,,,,2,5208.334242
d,case_07_pre_failure,B,,,,,,,,,,,,,,,,,,,3,5201.382048
d,case_07_pre_failure,B,,,,,,,,,,,,,,,,,,,4,5230.465702
d,case_08_pre_failure,A,,,,,,,,,,,,,,,,,,,0,11.945574
d,case_08_pre_failure,A,,,,,,,,,,,,,,,,,,,1,11.917068
d,case_08_pre_failure,A,,,,,,,,,,,,,,,,,,,2,11.835022
d,case_08_pre_failure,A,,,,,,,,,,,,,,,,,,,3,11.774346
d,case_08_pre_failure,A,,,,,,,,,,,,,,,,,,,4,11.72487
d,case_08_pre_failure,current_only,,,,,,,,,,,,,,,,,,,0,11.64999
d,case_08_pre_failure,current_only,,,,,,,,,,,,,,,,,,,1,11.672649
d,case_08_pre_failure,current_only,,,,,,,,,,,,,,,,,,,2,11.790567
d,case_08_pre_failure,current_only,,,,,,,,,,,,,,,,,,,3,12.110961
d,case_08_pre_failure,current_only,,,,,,,,,,,,,,,,,,,4,12.408424
d,case_08_pre_failure,B,,,,,,,,,,,,,,,,,,,0,5206.66531
d,case_08_pre_failure,B,,,,,,,,,,,,,,,,,,,1,5194.567178
d,case_08_pre_failure,B,,,,,,,,,,,,,,,,,,,2,5203.418848
d,case_08_pre_failure,B,,,,,,,,,,,,,,,,,,,3,5228.052686
d,case_08_pre_failure,B,,,,,,,,,,,,,,,,,,,4,5197.385853
