robot,method,baseline,family,metric,trajectories,difference,difference_ci,ratio,ratio_ci
panda,single_gn_k1,single_gn_k0,joint_limit_return,deadline_completion,40,0.0,"[-0.075,0.075]",1.0,"[0.9230769230769231,1.0833333333333333]"
panda,single_gn_k1,single_gn_k0,joint_limit_return,total_latency_ns,40,-2433610.7,"[-23699487.903333332,16332791.698125]",0.9527368995231639,"[0.6474043158907242,1.3494542366879476]"
panda,single_gn_k1,single_gn_k0,joint_limit_return,frame_success,40,0.005166666666666664,"[-0.03400000000000001,0.0495]",1.0052783926443043,"[0.9656565656565655,1.05229793977813]"
panda,single_gn_k1,single_gn_k0,joint_limit_return,acceleration_rms,40,-0.11555089042398019,"[-0.8136083203021791,0.465842928176703]",0.9362660765751578,"[0.6481373298822531,1.321467501469443]"
panda,single_gn_k1,single_gn_k0,joint_limit_return,successful_prefix,40,0.775,"[-5.1,7.425]",1.0052783926443045,"[0.9656565656565657,1.05229793977813]"
panda,single_gn_k1,single_gn_k0,high_curvature,completion,40,0.025,"[-0.05,0.1]",1.027027027027027,"[0.9459459459459459,1.121212121212121]"
panda,single_gn_k1,single_gn_k0,high_curvature,deadline_completion,40,0.025,"[-0.05,0.1]",1.027027027027027,"[0.9459459459459459,1.121212121212121]"
panda,single_gn_k1,single_gn_k0,high_curvature,total_latency_ns,40,-1197233.7250000008,"[-14663702.287916666,11148425.7175]",0.9778687097236669,"[0.7721965187348151,1.2271238547962626]"
panda,single_gn_k1,single_gn_k0,high_curvature,frame_success,40,-0.002666666666666667,"[-0.037833333333333344,0.028500000000000004]",0.9972588658557477,"[0.9614996564302679,1.0293491403911423]"
panda,single_gn_k1,single_gn_k0,high_curvature,acceleration_rms,40,-0.19581825346676435,"[-0.6003279295308871,0.138100241071247]",0.9720017689860934,"[0.9203752158061574,1.020602779890417]"
panda,single_gn_k1,single_gn_k0,high_curvature,successful_prefix,40,-0.9,"[-7.175,4.275]",0.9938324481754326,"[0.9513064133016627,1.029336078229542]"
panda,single_gn_k1,single_gn_clip,all,completion,160,0.025,"[0.00625,0.05]",1.0266666666666666,"[1.0064516129032257,1.055565268065268]"
panda,single_gn_k1,single_gn_clip,all,deadline_completion,160,0.025,"[0.004166666666666666,0.052083333333333336]",1.0267260579064588,"[1.004291386963061,1.0577367205542725]"
panda,single_gn_k1,single_gn_clip,all,total_latency_ns,160,-2595769.8249999997,"[-7589723.032239583,1419619.5095312512]",0.9483348436117741,"[0.8662912008732131,1.0335716069552723]"
