robot,subset,method,elapsed_limit_ms,verified_within_rate
ur5e,all,trac_ik_5ms,200,0.8328888888888889
ur5e,all,trac_ik_5ms,400,0.8328888888888889
ur5e,all,trac_ik_5ms,800,0.8328888888888889
ur5e,constructed_inexecutable,always_hard,0.1,0.0
ur5e,constructed_inexecutable,always_hard,0.25,0.0
ur5e,constructed_inexecutable,always_hard,0.5,0.0
ur5e,constructed_inexecutable,always_hard,1,0.0
ur5e,constructed_inexecutable,always_hard,2,0.0
ur5e,constructed_inexecutable,always_hard,5,0.0
ur5e,constructed_inexecutable,always_hard,10,0.0
ur5e,constructed_inexecutable,always_hard,20,0.0
ur5e,constructed_inexecutable,always_hard,50,0.0
ur5e,constructed_inexecutable,always_hard,100,0.0
ur5e,constructed_inexecutable,always_hard,200,0.0
ur5e,constructed_inexecutable,always_hard,400,0.0
ur5e,constructed_inexecutable,always_hard,800,0.0
ur5e,constructed_inexecutable,full_cghik,0.1,0.0
ur5e,constructed_inexecutable,full_cghik,0.25,0.0
ur5e,constructed_inexecutable,full_cghik,0.5,0.0
ur5e,constructed_inexecutable,full_cghik,1,0.0
ur5e,constructed_inexecutable,full_cghik,2,0.0
ur5e,constructed_inexecutable,full_cghik,5,0.0
ur5e,constructed_inexecutable,full_cghik,10,0.0
ur5e,constructed_inexecutable,full_cghik,20,0.0
ur5e,constructed_inexecutable,full_cghik,50,0.0
ur5e,constructed_inexecutable,full_cghik,100,0.0
ur5e,constructed_inexecutable,full_cghik,200,0.0
ur5e,constructed_inexecutable,full_cghik,400,0.0
ur5e,constructed_inexecutable,full_cghik,800,0.0
ur5e,constructed_inexecutable,geometry_threshold,0.1,0.0
ur5e,constructed_inexecutable,geometry_threshold,0.25,0.0
ur5e,constructed_inexecutable,geometry_threshold,0.5,0.0
ur5e,constructed_inexecutable,geometry_threshold,1,0.0
ur5e,constructed_inexecutable,geometry_threshold,2,0.0
ur5e,constructed_inexecutable,geometry_threshold,5,0.0
ur5e,constructed_inexecutable,geometry_threshold,10,0.0
ur5e,constructed_inexecutable,geometry_threshold,20,0.0
ur5e,constructed_inexecutable,geometry_threshold,50,0.0
ur5e,constructed_inexecutable,geometry_threshold,100,0.0
ur5e,constructed_inexecutable,geometry_threshold,200,0.0
ur5e,constructed_inexecutable,geometry_threshold,400,0.0
ur5e,constructed_inexecutable,geometry_threshold,800,0.0
ur5e,constructed_inexecutable,p50_selection,0.1,0.0
ur5e,constructed_inexecutable,p50_selection,0.25,0.0
ur5e,constructed_inexecutable,p50_selection,0.5,0.0
