robot,subset,method,query_count,calls,verified_success_rate,accepted_within_20ms_rate,accepted_contract_violations,total_latency_ns,p50_ms,p95_ms,p99_ms,mean_fev,reject_count,defer_count,fallback_count,fallback_rate,route_counts,accepted_position_error_median,accepted_position_error_max,accepted_orientation_error_median,accepted_orientation_error_max,accepted_max_joint_step_median,accepted_max_joint_step_max,accepted_max_velocity_utilization_median,accepted_max_velocity_utilization_max,witness_false_reject_rate,all_repeats_success_query_count
panda,constructed_inexecutable,always_hard,500,1500,0.0,0.0,0,419417848380,292.40296850000004,308.8184402,314.54546853999994,469.368,0,0,1500,1.0,"{""hard"": 1500}",,,,,,,,,,0
panda,constructed_inexecutable,full_cghik,500,1500,0.0,0.0,0,233170252588,217.11767400000002,308.2799369,314.95183649,265.698,660,840,840,0.56,"{""reject"": 660, ""defer"": 840}",,,,,,,,,,0
panda,constructed_inexecutable,geometry_threshold,500,1500,0.0,0.0,0,233121467648,216.8892615,308.10326775000004,315.19433232,265.698,660,840,840,0.56,"{""reject"": 660, ""defer"": 840}",,,,,,,,,,0
panda,constructed_inexecutable,p50_selection,500,1500,0.0,0.0,0,233075283862,216.7711515,308.14565085,314.48205512,265.698,660,840,840,0.56,"{""reject"": 660, ""defer"": 840}",,,,,,,,,,0
panda,constructed_inexecutable,reject_only_hard,500,1500,0.0,0.0,0,233202302546,216.60851250000002,308.54604190000003,315.5521121,265.698,660,840,840,0.56,"{""reject"": 660, ""defer"": 840}",,,,,,,,,,0
panda,constructed_inexecutable,routing_only,500,1500,0.0,0.0,0,421131306066,293.22929,310.45059,315.71648310999996,475.618,0,840,1500,1.0,"{""hard"": 660, ""defer"": 840}",,,,,,,,,,0
panda,constructed_inexecutable,trac_ik_100ms,500,1500,0.0,0.0,0,150207865410,100.132997,100.19268095000001,100.23537721,,0,0,0,0.0,"{""trac_ik_speed"": 1500}",,,,,,,,,,0
panda,constructed_inexecutable,trac_ik_20ms,500,1500,0.0,0.0,0,30212788135,20.13558,20.2230036,20.24759815,,0,0,0,0.0,"{""trac_ik_speed"": 1500}",,,,,,,,,,0
panda,constructed_inexecutable,trac_ik_400ms,500,1500,0.0,0.0,0,600213925628,400.134097,400.19614659999996,400.24316816,,0,0,0,0.0,"{""trac_ik_speed"": 1500}",,,,,,,,,,0
panda,constructed_inexecutable,trac_ik_5ms,500,1500,0.0,0.0,0,7715695724,5.1384325,5.2271772499999996,5.24818611,,0,0,0,0.0,"{""trac_ik_speed"": 1500}",,,,,,,,,,0
panda,feasible,always_hard,2500,7500,0.9492,0.9332,0,113299379670,1.5010430000000001,89.89307674999999,347.60461983000005,20.5588,0,0,534,0.0712,"{""hard"": 7500}",7.50461678061227e-05,0.0009980228077954587,0.0001586002419974947,0.00864460154612259,0.01454721481486776,0.05222615746291481,0.30957538821577435,1.001737112734951,0.0,2373
panda,feasible,full_cghik,2500,7500,0.9492,0.9330666666666667,0,117072168277,1.983904,90.48788694999999,348.07334465,20.5828,0,0,534,0.0712,"{""easy"": 4896, ""hard"": 2592, ""medium"": 12}",7.593709305402385e-05,0.0009980228077954587,0.00015258412963622446,0.007766725172811816,0.014552421845126617,0.05219888531298977,0.30894536460946886,1.001737112734951,0.0,2373
panda,feasible,geometry_threshold,2500,7500,0.9492,0.9330666666666667,0,116970723765,1.9844879999999998,90.32121334999992,348.0767417,20.5724,0,0,534,0.0712,"{""hard"": 6513, ""easy"": 987}",7.31622801326192e-05,0.0009980228077954587,0.000153028763733049,0.008007417589274993,0.01454721481486776,0.05222615746291481,0.3103886797204635,1.001737112734951,0.0,2373
