robot,cohort,group,method,uid,unique_qps,kernel_ns,return_ns,total_ns,all_quality_pass
panda,targeted,all,qpoases,617dfe3c6044a249e2b35c9a35fdace22f1d096e467cd2c20a564e43995edf0f,303,2641.315511551155,12667.838943894389,56785.02310231023,True
panda,targeted,all,qpoases,1085f3e04aaffe00c129d91100b2cf03f3de069fa72a1f43ac92c05905fe372d,4,10246.75,19683.55,64750.05,True
panda,targeted,all,qpoases,79076cd9aa84b436fcbb836548e693b733aa35a2d7be5ccd28163e80bd3fcb82,15,5841.066666666667,16098.053333333333,60534.10666666667,True
panda,targeted,all,qpoases,9e7027908956f6feea8630c453988b56b38fb5654bc6494312db6fec4fe6e93e,4,6100.65,15313.2,60150.8,True
panda,targeted,all,qpoases,f273e2cf840747e85e3dc4a774925882a9057bc0672355948aab35c0de41c7d8,14,3465.457142857143,12125.442857142858,56161.0,True
panda,targeted,all,qpoases,d7da3b52b00c623aa961e4db17e1e3c8b05d3c4295e5905a19047bd8a7f4482c,37,2597.5027027027027,11706.172972972972,55562.718918918916,True
panda,targeted,all,qpoases,a32f076fd84a50b0746febbd023dfac09cce4d08b2e19b8eee9393caa4f35a24,3,6336.4,15687.733333333334,60158.46666666667,True
panda,targeted,all,qpoases,39418c26c7c0ee7720f0a16e2b5930a336a74379ed31dd975416d5d9ab5766b1,4,5961.45,17241.6,62003.85,True
panda,targeted,all,qpoases,d677d8817a9086e31204c00a069fcd9714941f266e92b8c76d39517d2a87c663,302,2649.4860927152317,12481.707947019868,56628.67947019867,True
panda,targeted,all,qpoases,a4757ca54027f468f26f705c836838ae45f57658e775c4c60a7395323f3fb346,5,7770.04,17138.32,62963.2,True
panda,targeted,all,qpoases,1b1432b684aef0b401c66b39b447aa074258ccfbe4d804811e9c02688243235a,11,5436.418181818181,15786.672727272728,60509.67272727273,True
panda,targeted,all,qpoases,6292d6a262da269233959d5b381d94998db141290bc3e30dd2208b51a11c8100,302,2748.869536423841,12085.71655629139,56081.13774834437,True
panda,targeted,all,qpoases,c2ebae0d24e306f3744e9ac2a38add8502705448e7eda234f19e3082f56fa52c,31,3317.0516129032258,12646.051612903226,56665.87741935484,True
