site_id,candidate_id,variant,repeat,accepted,failure_kind,position_error,orientation_error,velocity_margin,q
case_05_pre_failure,candidate_03,reused_ordinary,4,False,solver_failure,0.002594940264041542,0.007026190119239182,0.0436,"[-2.291521036980763, -0.0037890514169973367, 1.4001396477473471, -0.3954651832719332, 0.7359418222355354, 2.0672966054440245, -1.4824694831796454]"
case_05_pre_failure,candidate_00,reused_ordinary,4,True,accepted,1.0560807788106525e-05,7.214205716415879e-06,9.71445146547012e-17,"[-2.3284182391416177, -0.02267436257235904, 1.3412714239176164, -0.398372415494227, 0.8388294046852185, 2.0513058715907984, -1.491241140893428]"
case_05_pre_failure,candidate_03,reused_ordinary,0,False,solver_failure,0.002594940264041542,0.007026190119239182,0.0436,"[-2.291521036980763, -0.0037890514169973367, 1.4001396477473471, -0.3954651832719332, 0.7359418222355354, 2.0672966054440245, -1.4824694831796454]"
case_05_pre_failure,candidate_00,reused_ordinary,3,True,accepted,6.70521753885296e-06,8.34179980799381e-06,9.71445146547012e-17,"[-2.3441973834400502, -0.02259757506408857, 1.3569502997191594, -0.39774087891097265, 0.8388294046852185, 2.051117889862963, -1.491043067369102]"
case_05_pre_failure,candidate_03,reused_ordinary,3,False,solver_failure,0.002594940264041542,0.007026190119239182,0.0436,"[-2.291521036980763, -0.0037890514169973367, 1.4001396477473471, -0.3954651832719332, 0.7359418222355354, 2.0672966054440245, -1.4824694831796454]"
case_05_pre_failure,candidate_00,reused_ordinary,2,True,accepted,6.038040033291537e-07,1.1128470680152291e-05,9.71445146547012e-17,"[-2.359109843279172, -0.02253510292746467, 1.3717509207642082, -0.39713613056194874, 0.8388294046852185, 2.050908479922548, -1.4908475575186197]"
case_06_pre_failure,candidate_02,reused_ordinary,4,True,accepted,7.208066064183479e-07,8.874090364866804e-07,0.02615915924209153,"[-1.7720460648599012, -1.090450312306726, -1.67121881983609, -0.3284699831985278, -0.28468869326931445, 2.9278626862708266, 2.1027713687067426]"
case_06_pre_failure,candidate_01,reused_ordinary,4,False,solver_failure,0.006489789376432655,0.008579717917913844,0.0436,"[-1.805350237601041, -1.0696412602348229, -1.7010788043866603, -0.38765235969697026, -0.23058349172283488, 2.9565499048826864, 2.1005389458410586]"
case_06_pre_failure,candidate_02,reused_ordinary,0,True,accepted,7.208066064183479e-07,8.874090364866804e-07,0.02615915924209153,"[-1.7720460648599012, -1.090450312306726, -1.67121881983609, -0.3284699831985278, -0.28468869326931445, 2.9278626862708266, 2.1027713687067426]"
case_06_pre_failure,candidate_00,reused_ordinary,4,False,solver_failure,0.006439479310985134,0.008539272352119334,0.0436,"[-1.8054307204487714, -1.06946523235442, -1.701845632538265, -0.38784042510674116, -0.22929581197300172, 2.956684536045871, 2.099999025902528]"
case_06_pre_failure,candidate_01,reused_ordinary,1,False,solver_failure,0.006489789376432655,0.008579717917913844,0.0436,"[-1.805350237601041, -1.0696412602348229, -1.7010788043866603, -0.38765235969697026, -0.23058349172283488, 2.9565499048826864, 2.1005389458410586]"
case_06_pre_failure,candidate_00,reused_ordinary,1,False,solver_failure,0.006439479310985134,0.008539272352119334,0.0436,"[-1.8054307204487714, -1.06946523235442, -1.701845632538265, -0.38784042510674116, -0.22929581197300172, 2.956684536045871, 2.099999025902528]"
case_06_pre_failure,candidate_00,reused_ordinary,3,False,solver_failure,0.006439479310985134,0.008539272352119334,0.0436,"[-1.8054307204487714, -1.06946523235442, -1.701845632538265, -0.38784042510674116, -0.22929581197300172, 2.956684536045871, 2.099999025902528]"
case_06_pre_failure,candidate_02,reused_ordinary,2,True,accepted,7.208066064183479e-07,8.874090364866804e-07,0.02615915924209153,"[-1.7720460648599012, -1.090450312306726, -1.67121881983609, -0.3284699831985278, -0.28468869326931445, 2.9278626862708266, 2.1027713687067426]"
case_06_pre_failure,candidate_02,reused_ordinary,3,True,accepted,7.208066064183479e-07,8.874090364866804e-07,0.02615915924209153,"[-1.7720460648599012, -1.090450312306726, -1.67121881983609, -0.3284699831985278, -0.28468869326931445, 2.9278626862708266, 2.1027713687067426]"
