run_id,site_id,uid,role,candidate_id,variant,repeat,frame,frames,complete,accepted_frames,first_failure,first_failure_kind,contiguous_success_frames,total_latency_ns,refinement_latency_ns,refinement_residual_calls,refinement_scipy_nfev,initial_refinement_latency_ns,initial_refinement_residual_calls,native_trac_fev,total_fev,witness
case_02_pre_failure_candidate_00_uniform_refinement_r2,case_02_pre_failure,a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28,trac_failed,candidate_00,uniform_refinement,2,86,30,False,0,87,solver_failure,0,164421350,0,0,0,173279989,1600,,,
case_02_pre_failure_matched_05_ordinary_matched_r3,case_02_pre_failure,a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28,trac_failed,matched_05,ordinary_matched,3,86,30,False,0,87,solver_failure,0,163527235,0,0,0,0,0,,,
case_02_pre_failure_matched_01_ordinary_matched_r2,case_02_pre_failure,a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28,trac_failed,matched_01,ordinary_matched,2,86,30,False,1,88,solver_failure,1,159442462,0,0,0,0,0,,,
case_02_pre_failure_matched_03_ordinary_matched_r1,case_02_pre_failure,a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28,trac_failed,matched_03,ordinary_matched,1,86,30,False,1,88,solver_failure,1,158771101,0,0,0,0,0,,,
case_02_pre_failure_matched_03_ordinary_matched_r4,case_02_pre_failure,a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28,trac_failed,matched_03,ordinary_matched,4,86,30,False,1,88,solver_failure,1,159936617,0,0,0,0,0,,,
case_02_pre_failure_matched_02_ordinary_matched_r2,case_02_pre_failure,a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28,trac_failed,matched_02,ordinary_matched,2,86,30,False,0,87,solver_failure,0,162525323,0,0,0,0,0,,,
case_02_pre_failure_matched_03_ordinary_matched_r0,case_02_pre_failure,a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28,trac_failed,matched_03,ordinary_matched,0,86,30,False,1,88,solver_failure,1,157954451,0,0,0,0,0,,,
case_02_pre_failure_matched_04_ordinary_matched_r3,case_02_pre_failure,a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28,trac_failed,matched_04,ordinary_matched,3,86,30,False,1,88,solver_failure,1,157733976,0,0,0,0,0,,,
case_02_pre_failure_matched_02_ordinary_matched_r4,case_02_pre_failure,a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28,trac_failed,matched_02,ordinary_matched,4,86,30,False,0,87,solver_failure,0,163234078,0,0,0,0,0,,,
case_02_pre_failure_matched_04_ordinary_matched_r4,case_02_pre_failure,a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28,trac_failed,matched_04,ordinary_matched,4,86,30,False,1,88,solver_failure,1,157649420,0,0,0,0,0,,,
case_02_pre_failure_matched_00_ordinary_matched_r3,case_02_pre_failure,a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28,trac_failed,matched_00,ordinary_matched,3,86,30,False,1,88,solver_failure,1,158617014,0,0,0,0,0,,,
case_02_pre_failure_matched_01_ordinary_matched_r0,case_02_pre_failure,a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28,trac_failed,matched_01,ordinary_matched,0,86,30,False,1,88,solver_failure,1,157952195,0,0,0,0,0,,,
case_02_pre_failure_matched_03_ordinary_matched_r3,case_02_pre_failure,a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28,trac_failed,matched_03,ordinary_matched,3,86,30,False,1,88,solver_failure,1,158958884,0,0,0,0,0,,,
case_02_pre_failure_matched_05_ordinary_matched_r1,case_02_pre_failure,a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28,trac_failed,matched_05,ordinary_matched,1,86,30,False,0,87,solver_failure,0,163176671,0,0,0,0,0,,,
case_02_pre_failure_matched_00_ordinary_matched_r1,case_02_pre_failure,a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28,trac_failed,matched_00,ordinary_matched,1,86,30,False,1,88,solver_failure,1,158013626,0,0,0,0,0,,,
case_02_pre_failure_matched_00_ordinary_matched_r2,case_02_pre_failure,a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28,trac_failed,matched_00,ordinary_matched,2,86,30,False,1,88,solver_failure,1,159131862,0,0,0,0,0,,,
case_02_pre_failure_matched_03_ordinary_matched_r2,case_02_pre_failure,a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28,trac_failed,matched_03,ordinary_matched,2,86,30,False,1,88,solver_failure,1,157578697,0,0,0,0,0,,,
case_02_pre_failure_matched_05_ordinary_matched_r0,case_02_pre_failure,a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28,trac_failed,matched_05,ordinary_matched,0,86,30,False,0,87,solver_failure,0,162231107,0,0,0,0,0,,,
case_02_pre_failure_candidate_00_uniform_refinement_r3,case_02_pre_failure,a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28,trac_failed,candidate_00,uniform_refinement,3,86,30,False,0,87,solver_failure,0,163442267,0,0,0,175585886,1600,,,
case_02_pre_failure_candidate_00_uniform_refinement_r0,case_02_pre_failure,a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28,trac_failed,candidate_00,uniform_refinement,0,86,30,False,0,87,solver_failure,0,163955616,0,0,0,175407684,1600,,,
case_02_pre_failure_matched_02_ordinary_matched_r3,case_02_pre_failure,a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28,trac_failed,matched_02,ordinary_matched,3,86,30,False,0,87,solver_failure,0,164238318,0,0,0,0,0,,,
case_02_pre_failure_matched_02_ordinary_matched_r1,case_02_pre_failure,a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28,trac_failed,matched_02,ordinary_matched,1,86,30,False,0,87,solver_failure,0,163795159,0,0,0,0,0,,,
case_02_pre_failure_candidate_00_uniform_refinement_r4,case_02_pre_failure,a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28,trac_failed,candidate_00,uniform_refinement,4,86,30,False,0,87,solver_failure,0,164505840,0,0,0,173433481,1600,,,
case_02_pre_failure_matched_04_ordinary_matched_r1,case_02_pre_failure,a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28,trac_failed,matched_04,ordinary_matched,1,86,30,False,1,88,solver_failure,1,159565633,0,0,0,0,0,,,
case_02_pre_failure_matched_01_ordinary_matched_r3,case_02_pre_failure,a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28,trac_failed,matched_01,ordinary_matched,3,86,30,False,1,88,solver_failure,1,158594580,0,0,0,0,0,,,
